box,day,phase,mouse,normDS,rank,time_point,exp,sex,age,mouse_ID,background,treatment,condition
3,2,inactive,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,2,inactive,red,1.5,Beta,MDMA,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,2,inactive,green,0.75,Gamma,MDMA,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,2,inactive,yellow,0.0,Delta,MDMA,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,3,active,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,3,active,red,0.75,Beta,MDMA,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,3,active,yellow,0.75,Gamma,MDMA,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,3,active,green,0.75,Delta,MDMA,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,3,inactive,red,1.75,Alpha,MDMA,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,3,inactive,blue,1.75,Beta,MDMA,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,3,inactive,yellow,1.5,Gamma,MDMA,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,3,inactive,green,1.5,Delta,MDMA,male_P35,male,P35,1072415,ELA,saline,ELA_saline
4,1,active,blue,3.0,Alpha,MDMA,male_P35,male,P35,1072480,CTRL,saline,CTRL_saline
4,1,active,green,1.5,Beta,MDMA,male_P35,male,P35,1072255,ELA,saline,ELA_saline
4,1,active,red,0.75,Gamma,MDMA,male_P35,male,P35,1072419,ELA,saline,ELA_saline
4,1,active,yellow,0.0,Delta,MDMA,male_P35,male,P35,1072469,CTRL,saline,CTRL_saline
